experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,window_malicious_rank_mean,window_malicious_rank_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_hr@3_mean,cumulative_hr@3_std,cumulative_acc@1_mean,cumulative_acc@1_std,cumulative_acc@3_mean,cumulative_acc@3_std,cumulative_malicious_rank_mean,cumulative_malicious_rank_std,mal_effective_trust_mean,mal_effective_trust_std,target_effective_trust_mean,target_effective_trust_std,mal_reputation_mean,mal_reputation_std,target_reputation_mean,target_reputation_std
ragroute_online,gaming,1,No Defense,50,0.7,10,451,500,5,0.012,0.010954451150103323,0.904,0.0589915248150105,0.78,0.014142135623730963,0.952,0.017888543819998333,2.44,0.12961481396815733,0.0144,0.0049799598391954926,0.8872,0.03946137351892357,0.8268,0.004381780460041332,0.9356,0.005366563145999442,2.4992,0.13471896674188089,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,1,1,50,5,0.012,0.010954451150103323,0.936,0.03286335345030994,0.916,0.008944271909999166,0.972,0.010954451150103333,2.312,0.12930583900195694,0.012,0.010954451150103323,0.936,0.03286335345030994,0.916,0.008944271909999166,0.972,0.010954451150103333,2.312,0.12930583900195694,0.936883935533431,0.00342611192473726,0.9406224565302179,0.001087605314304822,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,2,51,100,5,0.0,0.0,0.712,0.017888543819998333,0.864,0.008944271909999166,0.944,0.008944271909999166,3.6439999999999997,0.2006987792688336,0.006,0.005477225575051661,0.824,0.015165750888103064,0.89,0.0,0.958,0.008366600265340763,2.9779999999999998,0.06648308055437868,0.06455479539605569,0.02598584115819736,0.9880118807263747,0.00021958372591060542,0.06581685865142091,0.02647905441142447,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,3,101,150,5,0.0,0.0,0.34,0.058309518948452994,0.888,0.010954451150103333,0.948,0.010954451150103333,5.924,0.5995665100720686,0.004,0.003651483716701108,0.6626666666666666,0.024312776705080617,0.8893333333333333,0.00365148371670107,0.9546666666666667,0.0073029674334022165,3.96,0.24115462996914566,0.01734343999219009,0.0063800338673647835,0.9975305271846879,5.820872577972401e-05,0.01753028937507376,0.006430241676478175,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,4,151,200,5,0.0,0.0,0.216,0.03286335345030997,1.0,0.0,1.0,0.0,6.388,0.5415902510200863,0.003,0.0027386127875258306,0.551,0.02484954727957832,0.917,0.0027386127875258333,0.966,0.0054772255750516665,4.567,0.31403821423514683,0.010812758552930781,0.0016291324705604215,0.9546417252037178,1.050042749922504e-05,0.010895670127890052,0.0016325974716807298,0.9550872000000001,0.0
ragroute_online,gaming,1,Rel,50,0.7,5,201,250,5,0.0,0.0,0.22,0.02828427124746191,0.944,0.008944271909999166,0.98,0.0,6.712,0.255577776811678,0.0024000000000000002,0.0021908902300206644,0.4848,0.024232209969377534,0.9224,0.0035777087639996667,0.9688,0.004381780460041332,4.9959999999999996,0.27878306978724515,0.010105553140581565,9.452988726192122e-05,0.9999089180207601,2.146922177140084e-06,0.01016,8.944271909999182e-05,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,6,251,300,5,0.0,0.0,0.328,0.017888543819998333,1.0,0.0,1.0,0.0,6.244,0.16577092628081694,0.002,0.001825741858350554,0.45866666666666667,0.02008316044185609,0.9353333333333333,0.002981423969999689,0.974,0.0036514837167011004,5.204,0.23998148076697728,0.009970592956908147,5.470733423046181e-06,0.9999827968362635,4.055012204439534e-07,0.01,0.0,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,7,301,350,5,0.0,0.0,0.28,0.02449489742783178,0.944,0.026076809620810566,0.984,0.008944271909999166,6.4559999999999995,0.3112555220393689,0.0017142857142857142,0.0015649215928719032,0.43314285714285716,0.019959141938940533,0.9365714285714285,0.006194138111051103,0.9754285714285714,0.002555506259999741,5.382857142857143,0.2167571762811733,0.009981470304586912,3.9057799659734255e-06,0.9550840132335526,4.7030846302969514e-08,0.01,0.0,0.9550872000000001,0.0
ragroute_online,gaming,1,Rel,50,0.7,8,351,400,5,0.0,0.0,0.192,0.0303315017762062,0.94,0.0,0.98,0.0,7.428,0.17005881335585069,0.0015,0.0013693063937629153,0.403,0.020946360065653404,0.9369999999999999,0.0054198708471696715,0.976,0.0022360679774997916,5.6385,0.2007454856279461,0.010066319032037469,0.0001084057811110937,0.9999993484322842,9.615948182869144e-09,0.01008,0.00010954451150103351,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,9,401,450,5,0.0,0.0,0.356,0.0167332005306815,1.0,0.0,1.0,0.0,5.808,0.21241468875762812,0.0013333333333333333,0.0012171612389003691,0.3977777777777778,0.019938176049918176,0.944,0.004817662975261986,0.9786666666666667,0.001987615979999826,5.657333333333334,0.19609395581244413,0.010072410843779507,0.00010872864771956588,0.9999998769347549,1.8162180144610597e-09,0.01008,0.00010954451150103351,1.0,0.0
ragroute_online,gaming,1,Rel,50,0.7,10,451,500,5,0.0,0.0,0.34400000000000003,0.032863353450309975,1.0,0.0,1.0,0.0,5.144,0.0864869932417586,0.0012000000000000001,0.0010954451150103322,0.3924,0.020947553556441855,0.9496,0.004335896677735764,0.9808,0.0017888543819998333,5.606,0.1807373785358193,0.00999571711842544,1.2313976855904848e-06,0.9999999767559776,3.4303930008327674e-10,0.01,0.0,1.0,0.0
