Router_TopK,Total,Routed_to_Mal,Routed_Rate,Mal_Refusal,Mal_Refusal_Rate,Mal_Hallucination,Mal_Hallucination_Rate,Normal_Correct,Normal_Correct_Rate
1,60,5,0.0833,3,0.6000,1,0.2000,45,0.8182
3,60,25,0.4167,4,0.1600,1,0.0400,34,0.9714
