experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,n,final_hr@1_mean,final_hr@1_std,final_hr@3_mean,final_hr@3_std,final_acc@1_mean,final_acc@1_std,final_acc@3_mean,final_acc@3_std,mean_malicious_rank_mean,mean_malicious_rank_std,early_hr@1_mean,early_hr@1_std,early_hr@3_mean,early_hr@3_std,early_acc@1_mean,early_acc@1_std,early_acc@3_mean,early_acc@3_std,late_hr@1_mean,late_hr@1_std,late_hr@3_mean,late_hr@3_std,late_acc@1_mean,late_acc@1_std,late_acc@3_mean,late_acc@3_std,late_malicious_rank_mean,late_malicious_rank_std,final_mal_reputation_mean,final_mal_reputation_std,final_target_reputation_mean,final_target_reputation_std,final_mal_effective_trust_mean,final_mal_effective_trust_std,final_target_effective_trust_mean,final_target_effective_trust_std
ragroute_online,gaming,1,Full TASR,50,0.7,5,0.0012000000000000001,0.0010954451150103322,0.3224,0.0227771815640127,0.8768,0.00742967024840269,0.9736,0.002190890230020666,6.6624,0.20015194228385602,0.006,0.005477225575051661,0.782,0.02280350850198278,0.9,0.0,0.948,0.008366600265340763,0.0,0.0,0.252,0.021679483388678793,0.924,0.015165750888103067,0.996,0.0054772255750516665,6.642,0.11670475568716132,0.01,0.0,1.0,0.0,0.003058769877998411,1.6076033226913093e-05,0.3067523627464303,0.0024413659783129107
ragroute_online,gaming,1,No Defense,50,0.7,5,0.0144,0.0049799598391954926,0.8872,0.03946137351892357,0.8268,0.004381780460041332,0.9356,0.005366563145999442,2.4992,0.13471896674188089,0.022,0.008366600265340755,0.912,0.029495762407505278,0.838,0.010954451150103333,0.924,0.011401754250991351,0.012,0.00447213595499958,0.91,0.04898979485566356,0.836,0.0054772255750516665,0.96,0.010000000000000009,2.406,0.10968135666557009,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
ragroute_online,gaming,1,Rel,50,0.7,5,0.0012000000000000001,0.0010954451150103322,0.3924,0.020947553556441855,0.9496,0.004335896677735764,0.9808,0.0017888543819998333,5.606,0.1807373785358193,0.006,0.005477225575051661,0.824,0.015165750888103064,0.89,0.0,0.958,0.008366600265340763,0.0,0.0,0.35000000000000003,0.022360679774997894,1.0,0.0,1.0,0.0,5.476,0.1438054240979805,0.01,0.0,1.0,0.0,0.00999571711842544,1.2313976855904848e-06,0.9999999767559776,3.4303930008327674e-10
ragroute_online,gaming,3,Full TASR,50,0.7,5,0.0068000000000000005,0.0041472882706655445,0.4528,0.028340783334269364,0.8712,0.0048166378315169225,0.9723999999999999,0.0029664793948382677,5.0412,0.1383806344832976,0.034,0.020736441353327723,0.898,0.013038404810405309,0.878,0.03492849839314599,0.952,0.004472135954999583,0.0,0.0,0.278,0.05215361924162119,0.902,0.016431676725154998,0.99,0.0,6.1739999999999995,0.29313819266687174,0.010148544,5.762919198539008e-05,1.0,0.0,0.0031066947613702716,3.860020746162094e-05,0.30676188650529645,0.007608277221981918
ragroute_online,gaming,3,No Defense,50,0.7,5,0.0428,0.012049896265113656,0.964,0.01019803902718558,0.818,0.009999999999999964,0.916,0.00489897948556636,2.1768,0.06083748844257136,0.042,0.004472135954999581,0.966,0.01341640786499875,0.834,0.01140175425099139,0.912,0.004472135954999583,0.036000000000000004,0.01341640786499874,0.978,0.010954451150103333,0.83,0.012247448713915901,0.94,0.01870828693386968,2.148,0.06534523701081822,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
ragroute_online,gaming,3,Rel,50,0.7,5,0.0068000000000000005,0.0041472882706655445,0.5068,0.030384206423732737,0.9392,0.009230384607371413,0.9812,0.0036331804249169933,4.478,0.1324764129949178,0.034,0.020736441353327723,0.9339999999999999,0.013416407864998692,0.88,0.030000000000000027,0.948,0.008366600265340763,0.0,0.0,0.366,0.047749345545253286,0.996,0.0054772255750516665,1.0,0.0,5.18,0.21236760581595304,0.010121888106666666,9.039575420542716e-05,1.0,0.0,0.01007942591239099,9.02016548940629e-05,0.9999999767091438,1.6988486091127133e-09
ragroute_online,gis,1,Full TASR,50,0.7,5,0.0108,0.008899438184514795,0.3616,0.024223955085823642,0.9428,0.005761944116355146,0.976,0.00244948974278318,6.0752,0.12800468741417245,0.054,0.044497190922573975,0.738,0.016431676725154998,0.876,0.029664793948382676,0.94,0.0,0.0,0.0,0.35400000000000004,0.037148351242013405,0.98,0.0,0.998,0.004472135954999583,5.782,0.12173742234826578,0.01,0.0,1.0,0.0,0.003068258037416076,1.228380286827087e-06,0.9793984067999889,0.018245460010447016
ragroute_online,gis,1,No Defense,50,0.7,5,0.017599999999999998,0.009633275663033836,0.9056,0.0452857593510366,0.8388,0.007014271166700079,0.922,0.006928203230275515,2.4096,0.1682700210970451,0.030000000000000002,0.02,0.906,0.048785243670601865,0.832,0.017888543819998298,0.938,0.004472135954999534,0.004,0.005477225575051661,0.904,0.04505552130427523,0.884,0.008944271909999166,0.952,0.004472135954999583,2.406,0.16682325976913423,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
ragroute_online,gis,1,Rel,50,0.7,5,0.0108,0.008899438184514795,0.418,0.02387467277262665,0.9364,0.005549774770204594,0.97,0.0014142135623730963,5.298,0.10397114984456009,0.054,0.044497190922573975,0.778,0.016431676725154998,0.876,0.029664793948382676,0.938,0.004472135954999534,0.0,0.0,0.40800000000000003,0.035637059362410906,0.98,0.0,0.986,0.0054772255750516665,5.204,0.07334848328356887,0.01,0.0,1.0,0.0,0.009997407867476299,7.943032800339437e-07,0.9999999715971928,1.0225245423875556e-09
ragroute_online,gis,3,Full TASR,50,0.7,5,0.0236,0.007127411872482185,0.5484,0.11178014134898918,0.932,0.0034641016151377097,0.9728,0.003033150177620623,4.3252,0.6545419772634908,0.118,0.035637059362410926,0.908,0.04207136793592525,0.846,0.019493588689617945,0.9359999999999999,0.005477225575051605,0.0,0.0,0.422,0.10894952959971878,0.98,0.0,0.994,0.0054772255750516665,5.12,0.6352952069707438,0.011308065958817117,0.002812928763846694,1.0,0.0,0.0034440348905023363,0.0008767279402127537,0.9642268061426941,0.04688580767638368
