experiment,target_domain,num_malicious,proxy_condition,proxy_size,target_fraction,n_target_proxy,n_noise_proxy,n_seeds,hr@1_mean,hr@1_std,hr@3_mean,hr@3_std,mean_malicious_rank_mean,mean_malicious_rank_std,mean_score_margin_mean,mean_score_margin_std
noise,gaming,1,target_fraction,100,0.0,0,100,5,0.009600000000000001,0.0024545875417267154,0.0286,0.00819237450315841,9.582659999999999,0.7936228814745705,-0.07686568396091462,0.005117456685739501
noise,gaming,1,target_fraction,100,0.25,25,75,5,0.047439999999999996,0.013581899719847735,0.0821,0.019287949605906792,6.3689,0.18499545940373788,-0.03680712294280529,0.004147645386163429
noise,gaming,1,target_fraction,100,0.5,50,50,5,0.13002,0.017331243463756432,0.18474000000000002,0.018290243300732777,5.50878,0.11690349438746486,-0.023591414780020716,0.0016205204075475084
noise,gaming,1,target_fraction,100,0.75,75,25,5,0.17185999999999998,0.029713178894221325,0.23014,0.0327941000791301,5.26154,0.29396933173377127,-0.01966611514687538,0.0024201902818605657
noise,gaming,1,target_fraction,100,1.0,100,0,5,0.25702,0.022210290407826728,0.31638,0.02593765602362712,4.89732,0.1543050776870288,-0.014607534047961236,0.0010306949186678945
noise,gaming,3,target_fraction,100,0.0,0,100,5,0.02994,0.0016395121225535369,0.0732,0.005622721760855681,7.07512,0.2725240117861176,-0.062054226875901224,0.0029973129305584383
noise,gaming,3,target_fraction,100,0.25,25,75,5,0.13982,0.02382954049074383,0.21952,0.03014277691255402,4.85928,0.21468157116995387,-0.02060740292429924,0.004117751011190984
noise,gaming,3,target_fraction,100,0.5,50,50,5,0.30088,0.011451943066571721,0.40662,0.011613440489364052,3.83066,0.05201858321792313,-0.009766155784130096,0.00048419244741591664
noise,gaming,3,target_fraction,100,0.75,75,25,5,0.40958,0.021236807669704035,0.5147,0.020648849846904287,3.2753,0.09837896116548496,-0.004175311729907989,0.0008259143410227758
noise,gaming,3,target_fraction,100,1.0,100,0,5,0.53726,0.01407330806882306,0.63142,0.0069668500773305,2.88088,0.027916876616126025,0.0007191141551733017,0.0006933126134849418
noise,gis,1,target_fraction,100,0.0,0,100,5,0.00706,0.0014842506526863985,0.02158,0.004498555323656697,9.98046,0.653543317615596,-0.0819980194079876,0.006183935096625334
noise,gis,1,target_fraction,100,0.25,25,75,5,0.06541999999999999,0.023472792760981808,0.15436,0.04152978449257833,5.27384,0.2055040583540869,-0.026732082375884057,0.0014744081409753345
noise,gis,1,target_fraction,100,0.5,50,50,5,0.14262,0.04591412636651164,0.29252,0.06437699123133979,4.61052,0.2655835593556196,-0.019852790940999985,0.0025156437225600024
noise,gis,1,target_fraction,100,0.75,75,25,5,0.21988000000000002,0.034181968931002206,0.42202,0.036357832718686624,4.00284,0.18050227976399635,-0.01387274555504322,0.0015293804107074606
noise,gis,1,target_fraction,100,1.0,100,0,5,0.35728,0.04567797062042052,0.5289,0.026984995831016895,3.68146,0.09216676732966166,-0.00773061326444149,0.0019559899085643388
noise,gis,3,target_fraction,100,0.0,0,100,5,0.01822,0.003201093563143695,0.05334,0.012016571890518525,7.482419999999999,0.6738250307015907,-0.0664537812101841,0.005708704312990589
noise,gis,3,target_fraction,100,0.25,25,75,5,0.14588,0.02539039188354524,0.3524,0.02486573948226756,4.00778,0.1318959324619223,-0.016153345316648485,0.0011128600454629516
noise,gis,3,target_fraction,100,0.5,50,50,5,0.34472,0.05101972167701428,0.63158,0.029854597635875117,2.89222,0.175045414107311,-0.00584206759095192,0.0017732586636327416
noise,gis,3,target_fraction,100,0.75,75,25,5,0.53066,0.035580233276357266,0.7679,0.017856791425113306,2.2586399999999998,0.10756945663151772,0.0013333599472045898,0.0012826295854867066
noise,gis,3,target_fraction,100,1.0,100,0,5,0.65142,0.01493274924452963,0.8153,0.019242011329380262,2.08806,0.10630267165033998,0.007404207561016083,0.0008313190696859962
noise,physics,1,target_fraction,100,0.0,0,100,5,0.01174,0.00577260772961406,0.10278,0.05139019361707056,7.0258,1.0476022312881923,-0.07971234714567661,0.007602035250133069
noise,physics,1,target_fraction,100,0.25,25,75,5,0.13206,0.04711536904238361,0.758,0.02392853944560764,3.38968,0.09320207615713293,-0.024713865948319435,0.0034291547282045715
noise,physics,1,target_fraction,100,0.5,50,50,5,0.31113999999999997,0.020571655256687534,0.82168,0.018480449128741427,2.86228,0.09239330062293484,-0.010263334710597993,0.0015596107415307638
noise,physics,1,target_fraction,100,0.75,75,25,5,0.43834,0.02641302708891959,0.84856,0.0252241550899133,2.58238,0.10433303407837806,-0.003954496237039566,0.0019458597104963199
noise,physics,1,target_fraction,100,1.0,100,0,5,0.5457,0.02909252481308559,0.8657600000000001,0.01255440161855593,2.4539,0.09685729192993169,0.002648017201423645,0.0022867688947824
noise,physics,3,target_fraction,100,0.0,0,100,5,0.04054,0.011361029882893541,0.32338,0.08133478345701795,4.50662,0.32478548612892144,-0.05780033151447773,0.005718612297111657
noise,physics,3,target_fraction,100,0.25,25,75,5,0.30446,0.04229187865299909,0.90364,0.016133288567430997,2.52122,0.13449229345951375,-0.008119296734333039,0.0018645183589794216
noise,physics,3,target_fraction,100,0.5,50,50,5,0.5839,0.03521022578740444,0.93036,0.02337141416346046,1.92502,0.139832835914888,0.003699618467092514,0.002276519017405338
noise,physics,3,target_fraction,100,0.75,75,25,5,0.71318,0.014728781348095316,0.94672,0.0064619656452197145,1.66188,0.03837521335445572,0.011357802052497864,0.0010735874573150847
noise,physics,3,target_fraction,100,1.0,100,0,5,0.76446,0.009395903362636283,0.93674,0.004056229776528925,1.66872,0.027966801747786582,0.017598280185461043,0.0010762862899853143
scarcity,gaming,1,random_nontarget,10,0.0,0,10,5,0.0003,0.00012247448713915892,0.00062,0.000408656334834051,19.35594,0.3206140327558978,-0.16470981459379197,0.01659263821394722
scarcity,gaming,1,random_nontarget,25,0.0,0,25,5,0.00236,0.0012934450123604018,0.0058000000000000005,0.0019659603251337503,14.99496,1.3054709506534408,-0.10902282464802265,0.007839056022719023
scarcity,gaming,1,random_nontarget,50,0.0,0,50,5,0.00668,0.0005761944116355173,0.01646,0.002532390175308695,11.04188,0.7367904973600026,-0.08632117356657983,0.004006515868150159
scarcity,gaming,1,random_nontarget,100,0.0,0,100,5,0.00976,0.00272910241654651,0.028739999999999998,0.0025383065220733283,9.59426,0.824476362911636,-0.07714167657256127,0.004882818869336783
scarcity,gaming,1,random_nontarget,200,0.0,0,200,5,0.02018,0.0026555602045519513,0.04982,0.0051958637395528385,7.95314,0.3433559858222951,-0.06708917276144027,0.0023566740118650064
scarcity,gaming,1,target_clean,10,1.0,10,0,5,0.01438,0.008514810626197156,0.01754,0.009533782040722348,13.03226,0.4711609151871577,-0.09680069641947746,0.004029393998121692
scarcity,gaming,1,target_clean,25,1.0,25,0,5,0.060899999999999996,0.011758613863887187,0.07526,0.012136844729994694,8.119019999999999,0.12895651204960568,-0.049003278431892394,0.0021924513393972093
scarcity,gaming,1,target_clean,50,1.0,50,0,5,0.1339,0.023412389882282416,0.16962,0.02623808300924441,6.2361200000000006,0.4467103390341443,-0.02789015465974808,0.004793938979989419
scarcity,gaming,1,target_clean,100,1.0,100,0,5,0.26942,0.021986632302378642,0.33240000000000003,0.022275434900356033,4.77808,0.1200284841193956,-0.014024558802247048,0.001306910908712914
scarcity,gaming,1,target_clean,200,1.0,200,0,5,0.39596,0.01918210103195163,0.47652,0.019726428972320364,3.8235,0.11223085582851093,-0.005811901785135269,0.0011495593397576286
scarcity,gaming,3,random_nontarget,10,0.0,0,10,5,0.001,0.00012247448713915887,0.00228,0.00043817804600413285,16.6168,0.30664945785049047,-0.13670120371699332,0.004923316801787718
scarcity,gaming,3,random_nontarget,25,0.0,0,25,5,0.00546,0.0011545561917897281,0.01582,0.0024417207047490092,11.39838,0.8596364039522757,-0.0922452125018835,0.00516847241475439
scarcity,gaming,3,random_nontarget,50,0.0,0,50,5,0.01688,0.004452751958059196,0.04474,0.006460108358224342,8.04896,0.3542046343570338,-0.07037810171842575,0.002766217584048855
scarcity,gaming,3,random_nontarget,100,0.0,0,100,5,0.02846,0.00599941663830743,0.0746,0.006039453617671055,7.13004,0.39139656743512746,-0.06260990062654018,0.0031880120179068206
scarcity,gaming,3,random_nontarget,200,0.0,0,200,5,0.04812,0.0026780589986032804,0.103,0.0059194594347794964,6.396,0.15865501883016503,-0.05604190377295017,0.0013550781538125914
scarcity,gaming,3,target_clean,10,1.0,10,0,5,0.04106,0.007775795779211283,0.0496,0.008613651954891144,9.35158,0.16764565905504333,-0.06788812712371349,0.00323340940851998
scarcity,gaming,3,target_clean,25,1.0,25,0,5,0.16288,0.02496431453094597,0.20044,0.028385084111201785,5.91402,0.19102001727567716,-0.02635584415078163,0.002516121886019332
scarcity,gaming,3,target_clean,50,1.0,50,0,5,0.33354,0.019551163648233314,0.40808,0.01919731752094547,4.1147,0.08675574908903738,-0.008895694099664689,0.000936602140291261
scarcity,gaming,3,target_clean,100,1.0,100,0,5,0.5366,0.029252093942143703,0.6302,0.03142172815107407,2.84234,0.12984615127141805,0.0006580121344327926,0.0010889545806583982
scarcity,gaming,3,target_clean,200,1.0,200,0,5,0.69908,0.009148059903607994,0.7918000000000001,0.007932843122109524,2.08214,0.04350325275194939,0.008839210425019265,0.0004751786797856779
scarcity,gis,1,random_nontarget,10,0.0,0,10,5,0.0001,7.071067811865475e-05,0.00031999999999999997,0.00021679483388678796,19.03656,0.9777532730704622,-0.17402775670647622,0.022634349104754443
scarcity,gis,1,random_nontarget,25,0.0,0,25,5,0.00082,0.0007362064927722385,0.00274,0.0019372661149155528,15.74432,1.6173648914206102,-0.12440173344671726,0.012129363349304118
scarcity,gis,1,random_nontarget,50,0.0,0,50,5,0.00426,0.00169941166289984,0.01124,0.0035690334826112237,11.91434,1.4096207337436546,-0.09611062629938126,0.011009983858374647
scarcity,gis,1,random_nontarget,100,0.0,0,100,5,0.00916,0.0018528356645962966,0.02596,0.006614982993175416,9.81072,0.8562174180662296,-0.08055289479136467,0.007079081531002438
scarcity,gis,1,random_nontarget,200,0.0,0,200,5,0.0119,0.0018641351882307247,0.037680000000000005,0.007403174994554701,8.90896,0.8625919794433518,-0.07382783860206604,0.006688068796920119
scarcity,gis,1,target_clean,10,1.0,10,0,5,0.0184,0.005436451048248296,0.03746,0.009096317936396023,10.469719999999999,1.1005279446701934,-0.07956554458200932,0.00875463961051636
scarcity,gis,1,target_clean,25,1.0,25,0,5,0.09708,0.018857942623732846,0.15932,0.014373482528601059,6.49054,0.34927800245649593,-0.03885192237734795,0.002433492031330735
scarcity,gis,1,target_clean,50,1.0,50,0,5,0.20696,0.023529619631434764,0.3563,0.021756608191535735,4.72832,0.11654006607171608,-0.018672133252620696,0.0012503497518861668
scarcity,gis,1,target_clean,100,1.0,100,0,5,0.3575,0.03842108795960884,0.5334599999999999,0.025897741214244922,3.62014,0.07910788835508122,-0.008160271971821785,0.0011091529313144474
scarcity,gis,1,target_clean,200,1.0,200,0,5,0.51484,0.02149088178739996,0.6852199999999999,0.023643540344034798,2.80902,0.10754644113126205,0.0002444636738300324,0.0011468883331323594
scarcity,gis,3,random_nontarget,10,0.0,0,10,5,0.00074,0.0009889388252060892,0.00246,0.0020923670806051215,15.01796,1.2580215451255194,-0.13199472127318382,0.016470395488404118
scarcity,gis,3,random_nontarget,25,0.0,0,25,5,0.00314,0.0010310189135025604,0.0101,0.0027276363393971713,11.51874,1.3906510644298955,-0.09852629513680936,0.012471282691097435
scarcity,gis,3,random_nontarget,50,0.0,0,50,5,0.01182,0.003206555784638714,0.03264,0.006477113554663064,8.85544,0.6310100736121412,-0.07874003169119358,0.006320190251970424
scarcity,gis,3,random_nontarget,100,0.0,0,100,5,0.02086,0.0022142718893577644,0.06016,0.007010920053744729,7.22328,0.6591131367223686,-0.06305832536637783,0.005296182014167669
scarcity,gis,3,random_nontarget,200,0.0,0,200,5,0.02944,0.0027464522570035694,0.08064,0.012885961353348845,6.92588,0.605144810768464,-0.061482672245502475,0.006162252109262363
scarcity,gis,3,target_clean,10,1.0,10,0,5,0.06096,0.006396327071061956,0.10804,0.012289548405047269,7.4164,0.3953534684304668,-0.05242627747297287,0.005396031879166484
scarcity,gis,3,target_clean,25,1.0,25,0,5,0.23418,0.02694878475924285,0.37864,0.03345493984451325,4.48438,0.23172552082150996,-0.017492733891010283,0.0019511470595330975
scarcity,gis,3,target_clean,50,1.0,50,0,5,0.45396,0.01415125436136316,0.64906,0.012149609047208045,2.91716,0.08016182383154709,-0.001885330632328987,0.0009265730465836762
scarcity,gis,3,target_clean,100,1.0,100,0,5,0.65588,0.020775755100597416,0.81756,0.015303692364916374,2.0752800000000002,0.09562380456769115,0.007530923984050751,0.0006449484678117004
scarcity,gis,3,target_clean,200,1.0,200,0,5,0.77682,0.010118152005183564,0.88706,0.01288537931145221,1.67714,0.04800753065926223,0.01378461895942688,0.0008266880748929835
scarcity,physics,1,random_nontarget,10,0.0,0,10,5,0.00094,0.0011148990985734987,0.00856,0.0129745134783544,16.80826,2.6216961833896777,-0.1518102665323019,0.025303650769496085
scarcity,physics,1,random_nontarget,25,0.0,0,25,5,0.00192,0.001316054710108968,0.03992,0.04218212891735077,10.68322,2.1041951007451756,-0.10304543357372284,0.01468614441928122
scarcity,physics,1,random_nontarget,50,0.0,0,50,5,0.00634,0.00342023391012954,0.07684,0.04377439891077889,7.49164,0.8463712176108069,-0.08178232578516006,0.007152703178847428
scarcity,physics,1,random_nontarget,100,0.0,0,100,5,0.01752,0.006565592128665929,0.16162,0.050849552603734874,6.34162,0.49382724408440676,-0.07352743630886077,0.0054485268805573904
scarcity,physics,1,random_nontarget,200,0.0,0,200,5,0.02824,0.00779955126914363,0.28756,0.13041540553170855,5.08302,0.5645208826961143,-0.060283024411797524,0.0071939057305155305
scarcity,physics,1,target_clean,10,1.0,10,0,5,0.0635,0.012319293810929261,0.35344000000000003,0.06315542732022324,7.83828,0.9903833434584813,-0.06749905136704445,0.009622021201671077
scarcity,physics,1,target_clean,25,1.0,25,0,5,0.16906,0.026304904485665782,0.6351600000000001,0.03248188726044102,4.43698,0.1987086862721406,-0.029358761379122734,0.003116200303051738
scarcity,physics,1,target_clean,50,1.0,50,0,5,0.33038,0.04678527546140986,0.77656,0.026466733837026447,3.2022,0.21075688600850026,-0.012114912073016166,0.0027645631868110387
scarcity,physics,1,target_clean,100,1.0,100,0,5,0.55686,0.016868847026397515,0.87166,0.022094184755269856,2.39492,0.10776665532529067,0.0032685494327545166,0.0014287105388478937
scarcity,physics,1,target_clean,200,1.0,200,0,5,0.66582,0.010867244360922401,0.90236,0.009432019932124811,2.00108,0.043363486944663555,0.009999156917333604,0.0010917529349302464
scarcity,physics,3,random_nontarget,10,0.0,0,10,5,0.0018399999999999998,0.0010014988766843425,0.01944,0.015874602357224574,11.73106,1.8192196329745347,-0.11713908541560172,0.013685580380822189
scarcity,physics,3,random_nontarget,25,0.0,0,25,5,0.00398,0.0017569860557215585,0.05966,0.043474509772969266,8.23684,1.3747592800195967,-0.09266091489970683,0.012657544652399181
scarcity,physics,3,random_nontarget,50,0.0,0,50,5,0.0206,0.009708758932015976,0.2124,0.06507092284576883,5.292619999999999,0.6338676218265135,-0.06616940011024475,0.005879058235161064
scarcity,physics,3,random_nontarget,100,0.0,0,100,5,0.03766,0.011667604724192537,0.32051999999999997,0.06220435676059997,4.59246,0.24447183477856907,-0.059444462408423424,0.0040957208260600335
scarcity,physics,3,random_nontarget,200,0.0,0,200,5,0.05898,0.012180188832690567,0.43722,0.09682642717770804,4.01986,0.4126658612000755,-0.05055421248078346,0.005056424052412401
scarcity,physics,3,target_clean,10,1.0,10,0,5,0.12628,0.0296156546441236,0.5342,0.04180574123251491,5.17776,0.3019586279608515,-0.042063141134381296,0.0059389803729973795
scarcity,physics,3,target_clean,25,1.0,25,0,5,0.3761,0.009061180938486988,0.8062,0.029277465737320933,2.91778,0.166499615615172,-0.008332157264947892,0.001114656613879041
scarcity,physics,3,target_clean,50,1.0,50,0,5,0.61126,0.036167844834880614,0.89854,0.015308429050689654,2.0848999999999998,0.14210483805979304,0.006068516107797623,0.0017175006702377094
scarcity,physics,3,target_clean,100,1.0,100,0,5,0.77752,0.012314503644077606,0.9415,0.008616263691415231,1.62248,0.06981011388044,0.017863936313390734,0.0017445142878276345
scarcity,physics,3,target_clean,200,1.0,200,0,5,0.83038,0.009844643213443555,0.9564199999999999,0.0027344103569142734,1.45868,0.023756935829353093,0.0233053928732872,0.0003889945315364807
