experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,n,final_hr@1_mean,final_hr@1_std,final_hr@3_mean,final_hr@3_std,final_acc@1_mean,final_acc@1_std,final_acc@3_mean,final_acc@3_std,early_hr@1_mean,early_hr@1_std,early_acc@1_mean,early_acc@1_std,late_hr@1_mean,late_hr@1_std,late_acc@1_mean,late_acc@1_std,final_mal_reputation_mean,final_mal_reputation_std,final_honest_target_reputation_mean,final_honest_target_reputation_std,final_mal_effective_trust_mean,final_mal_effective_trust_std,final_honest_target_effective_trust_mean,final_honest_target_effective_trust_std
cold_start_sweep,gaming,1,Full TASR,50,0.5,5,0.002,0.0034641016151377548,0.0524,0.04475265355261071,0.9724,0.02847455004034302,0.9908,0.015073154945133432,0.01,0.017320508075688773,0.96,0.017320508075688787,0.0,0.0,0.992,0.010954451150103333,0.21200417706729396,0.024984630929558486,0.2608355638791468,0.04463389651628029,0.07296662584525715,0.0035735520360617684,0.09493688087914244,0.010569361848087827
cold_start_sweep,gaming,1,Full TASR,50,0.9,5,0.0044,0.0035777087639996636,0.0392,0.003633180424916991,0.9471999999999999,0.009121403400793112,0.9816,0.0047749345545253325,0.022,0.01788854381999832,0.864,0.05594640292279746,0.0,0.0,0.976,0.018165902124584965,0.19038700276662385,0.01726325069730924,0.27455491985699704,0.014810381555998092,0.07818420380000468,0.004581207649092334,0.09337245200359648,0.00512688937782577
cold_start_sweep,gaming,1,Full TASR,50,1.0,5,0.02,0.003999999999999999,0.0576,0.005176871642217915,0.9352,0.018143869488066726,0.9816,0.004979959839195498,0.1,0.02,0.772,0.021679483388678818,0.0,0.0,0.988,0.0268328157299975,0.1860592429848212,0.010898045740935433,0.2623594988656041,0.011366913312821837,0.08003316376847476,0.004795505800972444,0.09407519688187461,0.005035330139491873
cold_start_sweep,gaming,3,Full TASR,50,0.5,5,0.006,0.009273618495495703,0.1128,0.044375669009041434,0.984,0.016911534525287777,0.9968,0.0060991802727907675,0.03,0.04636809247747852,0.95,0.04847679857416328,0.0,0.0,1.0,0.0,0.1997503808888343,0.01299462551816849,0.2892778123012818,0.03174747069538235,0.07127915148757423,0.004481924062148346,0.1118823078612249,0.026026294771394138
cold_start_sweep,gaming,3,Full TASR,50,0.9,5,0.0208,0.011713240371477057,0.1368,0.027589853207293437,0.9356,0.007536577472566668,0.9823999999999999,0.0032863353450309995,0.104,0.058566201857385286,0.774,0.06348228099241551,0.0,0.0,0.994,0.008944271909999166,0.17730306604685422,0.011790424559696908,0.2662857397960102,0.019201175066603335,0.07485078516564284,0.005465803682699622,0.09129304694967827,0.007045905136754021
cold_start_sweep,gaming,3,Full TASR,50,1.0,5,0.055600000000000004,0.005549774770204641,0.16040000000000001,0.004979959839195498,0.8816,0.01013903348450927,0.9688,0.010449880382090514,0.278,0.027748873851023214,0.572,0.044384682042344276,0.0,0.0,0.998,0.004472135954999583,0.18104392870937264,0.00817141083510881,0.2758785722937552,0.019322087414091357,0.08055448216323671,0.004287964780798573,0.11273614246515998,0.009371119532171419
cold_start_sweep,gis,1,Full TASR,50,0.5,5,0.0504,0.022645087767549057,0.1432,0.008786353054595514,0.9484,0.0219727103471556,0.9988,0.001095445115010333,0.252,0.11322543883774529,0.742,0.10986355173577812,0.0,0.0,1.0,0.0,0.09869994912948837,0.012947724117486115,0.5308499334364097,0.04218608559148518,0.04285494716536212,0.003535513048170698,0.29233873354375384,0.023229091034435014
cold_start_sweep,gis,1,Full TASR,50,0.9,5,0.034,0.0070710678118654745,0.1128,0.02062037827005121,0.958,0.0073484692283495405,0.9964,0.002190890230020666,0.17,0.035355339059327376,0.79,0.03674234614174768,0.0,0.0,1.0,0.0,0.11595981314848505,0.015326472127722894,0.52196020185338,0.04224626790654705,0.05221168964205767,0.004079150526235323,0.2725655088268056,0.03115041398841711
cold_start_sweep,gis,1,Full TASR,50,1.0,5,0.0372,0.003033150177620621,0.094,0.009486832980505141,0.9483999999999999,0.0026076809620810618,0.9908,0.003033150177620623,0.186,0.015165750888103097,0.742,0.013038404810405309,0.0,0.0,1.0,0.0,0.12429855096209332,0.016396555194245606,0.5416379898213001,0.026303278299993987,0.053062299433700534,0.004320257534503379,0.29285981470149347,0.01936495859752263
cold_start_sweep,gis,3,Full TASR,50,0.5,5,0.08,0.008246211251235319,0.2216,0.006542170893518456,0.9196000000000001,0.00841427358718506,0.998,0.0,0.39999999999999997,0.041231056256176596,0.598,0.04207136793592527,0.0,0.0,1.0,0.0,0.12011968942777623,0.01214942745300267,0.4814677846578263,0.05535436046716874,0.045908881568911375,0.0025836683761087985,0.26245682191339753,0.037272248457677994
