experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_acc@1_mean,cumulative_acc@1_std,mal_effective_trust_mean,mal_effective_trust_std,honest_target_effective_trust_mean,honest_target_effective_trust_std,mal_reputation_mean,mal_reputation_std,honest_target_reputation_mean,honest_target_reputation_std
cold_start_sweep,gaming,1,Full TASR,50,0.5,1,1,50,5,0.016,0.026076809620810593,0.208,0.4318796128552493,0.964,0.026076809620810572,1.0,0.0,0.016,0.026076809620810593,0.964,0.026076809620810572,0.6024711700085408,0.1699648869072126,0.7300794578974145,0.034527847892800924,1.0,0.0,1.0,0.0
cold_start_sweep,gaming,1,Full TASR,50,0.5,2,51,100,5,0.004,0.00894427190999916,0.064,0.03286335345030996,0.956,0.03577708763999661,0.984,0.026076809620810618,0.01,0.017320508075688773,0.96,0.017320508075688787,0.380430217042461,0.010220120610468716,0.44207829050092423,0.03527429762886888,0.7554999600000001,0.09369036940907001,0.7536700552090476,0.03946785448568161
cold_start_sweep,gaming,1,Full TASR,50,0.5,3,101,150,5,0.0,0.0,0.04,0.02,0.884,0.24835458522040618,0.948,0.11627553482998906,0.006666666666666667,0.011547005383792516,0.9346666666666666,0.08735623109493168,0.29631120885826584,0.02564075868961177,0.3440859166777442,0.03680482366961869,0.6461538156000001,0.1025121732268098,0.6730410973632007,0.039206497974281336
cold_start_sweep,gaming,1,Full TASR,50,0.5,4,151,200,5,0.0,0.0,0.04,0.02,1.0,0.0,1.0,0.0,0.005,0.008660254037844387,0.951,0.06551717332119877,0.2250629178703129,0.011024211263827162,0.31685169627393,0.03357711461554979,0.5193879181200001,0.04576775322420376,0.6584803340690712,0.027138887105493954
cold_start_sweep,gaming,1,Full TASR,50,0.5,5,201,250,5,0.0,0.0,0.024,0.00894427190999916,0.968,0.05215361924162119,0.992,0.017888543819998333,0.004,0.0069282032302755096,0.9544,0.06226395425926626,0.18971701711434918,0.008429955451482677,0.2502938219930673,0.017723048866956102,0.45769186954800006,0.04092386091144616,0.58848664231883,0.009691766568110093
cold_start_sweep,gaming,1,Full TASR,50,0.5,6,251,300,5,0.0,0.0,0.036,0.01673320053068151,1.0,0.0,1.0,0.0,0.0033333333333333335,0.005773502691896258,0.962,0.051886628549388546,0.1515178853546684,0.01369777424866223,0.21214977399577004,0.025581999093101132,0.3895613918409025,0.04946842783303867,0.5319546455898483,0.04075114347831182
cold_start_sweep,gaming,1,Full TASR,50,0.5,7,301,350,5,0.0,0.0,0.028,0.010954451150103323,0.996,0.008944271909999166,1.0,0.0,0.002857142857142857,0.0049487165930539355,0.9668571428571429,0.04401298509693314,0.12406262455252998,0.007021238854052456,0.15958513842906658,0.022608295505636852,0.32934687055259987,0.04300646336779069,0.44527649146691645,0.043119817513042426
cold_start_sweep,gaming,1,Full TASR,50,0.5,8,351,400,5,0.0,0.0,0.032,0.010954451150103323,0.972,0.04381780460041328,0.988,0.017888543819998333,0.0025,0.004330127018922193,0.9675,0.03644344934278315,0.10485660308627655,0.007868186990915712,0.1368790166752169,0.017892936306485262,0.28562965141568747,0.04144846432284812,0.38077846086192496,0.05687880394496578
cold_start_sweep,gaming,1,Full TASR,50,0.5,9,401,450,5,0.0,0.0,0.036000000000000004,0.00894427190999916,1.0,0.0,1.0,0.0,0.0022222222222222222,0.0038490017945975053,0.9711111111111111,0.03239417719358501,0.08351616832072281,0.008647061895045846,0.13293396202946828,0.026870014436713125,0.23644374930336487,0.03497772718038038,0.3608518176697376,0.08516875342150243
cold_start_sweep,gaming,1,Full TASR,50,0.5,10,451,500,5,0.0,0.0,0.016,0.00894427190999916,0.984,0.021908902300206666,0.996,0.008944271909999166,0.002,0.0034641016151377548,0.9724,0.02847455004034302,0.07296662584525715,0.0035735520360617684,0.09493688087914244,0.010569361848087827,0.21200417706729396,0.024984630929558486,0.2608355638791468,0.04463389651628029
